"Director","Frecuencia"
"Cory Finley",2
"Courteney Cox",1
"Courtney Hunt",1
"Courtney Solomon",3
"Craig Brewer",5
"Craig David Wallace",1
"Craig Gillespie",5
"Craig Johnson",2
"Craig Macneill",1
"Craig Mazin",1
"Craig McCracken",1
"Craig Moss",4
"Craig Pryce",1
"Craig Rosenberg",1
"Craig Shapiro",2
"Craig Zisk",1
"Craig Zobel",2
"Cris D'amato",1
"Crispian Mills",1
"Crist�bal Le�n|Joaqu�n Coci�a",1
"Cristian Ponce",1
"Cristina Jacob",1
"C�sar Rodrigues",2
"Cullen Blaine|Dale Case",1
"Curt Geda",4
"Curt Geda|James Tucker",1
"Curt Geda|Steven E. Gordon|Bob Richardson",1
"Curt Geda|Tim Maltby|Jennifer Graves",1
"Curtis Crawford",2
"Curtis Hanson",8
"Curtis Hanson|Michael Apted",1
"Cy Endfield",1
"Cybil Richards",2
"Cyrus Nowrasteh",2
"D. J. Caruso",6
"Daisuke Miura",1
"Daisuke Nishio",7
"Daisy von Scherler Mayer",1
"Dakota Gorman",1
"Dale Launer",1
"Dallas Jackson",1
"Damian Chapa",1
"Damian Lee",2
"Damiano Damiani",1
"Damien Chazelle",3
"Damien Dante Wayans",1
"Damien Leone",1
"Damien LeVeck",1
"Damien Mac�|Alexis Wajsbrot",1
"Damien O'Connor",2
"Dami�n Romay",3
"Dami�n Szifron",1
"Damon Santostefano",3
"Dan Abraham|Trent Correy",1
"Dan Beers",1
"Dan Bradley",1
"Dan Cutforth|Jane Lipsitz",1
"Dan Fogelman",1
"Dan Gabriel",1
"Dan Garcia",1
"Dan Gilroy",3
"Dan Hyduk",1
"Dan Krauss",1
"Dan Mazer",3
"Dan O'Bannon",1
"Dan Povenmire|Robert Hughes",1
"Dan Riba|Butch Lukic",1
"Dan Scanlon",2
"Dan Trachtenberg",1
"Dani de la Orden",3
"Dani de la Torre",1
"Daniel Alfredson",4
"Daniel Anghelcev",1
"Daniel Auteuil",1
"Daniel Barnz",2
"Daniel Benmayor",2
"Daniel Calparsoro",3
"Daniel Chong",1
"Daniel Cohen",1
"Daniel Diosdado",1
"Daniel Espinosa",3
"Daniel Farrands",5
"Daniel Gill",1
"Daniel Goldhaber",1
"Daniel Grou",1
"Daniel H. Birman",1
"Daniel H. Torrado",1
"Daniel J. Clark",1
"Daniel J. Phillips",1
"Daniel Kokotajlo",1
"Daniel Lee Yan-Kong",2
"Daniel Lusko",1
"Daniel Markowicz",1
"Daniel Minahan",1
"Daniel Monz�n",2
"Daniel Myrick|Eduardo S�nchez",1
"Daniel Nettheim",1
"Daniel Petrie",1
"Daniel Prochaska",1
"Daniel Ragussis",1
"Daniel Robichaud",1
"Daniel Roby",1
"Daniel Sackheim",1
"Daniel Sandu",1
"Daniel Schechter",1
"Daniel Scheinert|Daniel Kwan",1
"Daniel Stamm",3
"Daniel Vernon",1
"Daniel Waters",1
"Daniel Zirilli",1
"Daniel Zirilli|Michael Merino",1
"Daniela Bernal",1
"Daniela F�jerman",1
"Daniela Goggi",1
"Danila Kozlovsky",1
"Danis Tanovic",1
"Danishka Esterhazy",2
"Danny Antonucci",1
"Danny Boyle",10
"Danny Cannon",1
"Danny DeVito",3
"Danny Draven|Paul Davis|Dean Hewison|�mar �rn Hauksson|Joel Morgan|Erlingur Thoroddsen|Johannes Persson|Nicholas Peterson|Rasmus Wassberg",1
"Danny Leiner",2
"Danny Lerner",1
"Danny Pang|Oxide Pang Chun",3
"Danny Steinmann",1
"Dante Lam",3
"Dany Boon",4
"Darin Scott",1
"Dario Argento",3
"Dario Piana",1
"Dario Russo",1
"Darius Marder",1
"Darnell Martin",1
"Darragh O�Connell",1
"Darrell James Roodt",2
"Darrell Rooney",1
"Darrell Rooney|Jeannine Roussel",1
"Darrell Rooney|Lynne Southerland",1
"Darren Aronofsky",7
"Darren Grant",1
"Darren Lynn Bousman",7
"Daryn Tufts",1
"Dave Bullock",1
"Dave Bullock|Troy Adomitis|Victor Cook",1
"Dave Filoni",1
"Dave Franco",1
"Dave Green",1
"Dave McCary",1
"Dave McVeigh|Scott McVeigh",2
"Dave Meyers",1
"Dave Needham",1
"Dave Parker",1
"Dave Rosenbaum|Eamonn Butler",1
"Dave Wilson",1
"David A. Prior",1
"David A.R. White",1
"David Alaux",1
"David Albala",1
"David Amito|Michael Laicini",1
"David Arthur Clark",1
"David Attenborough",1
"David Attwood",1
"David Ayer",8
"David Bercovici-Artieda",2
"David Blair",1
"David Block",1
"David Bowers",4
"David Bowers|Sam Fell",1
"David Bruckner",2
"David Burton Morris",1
"David Carson",2
"David Charbonier|Justin Powell",2
"David Charhon",1
"David Cronenberg",9
"David DeCoteau",2
"David Dobkin",6
"David E. Talbert",3
"David Evans",1
"David F. Sandberg",3
"David Fairhurst",1
"David Feiss",1
"David Fincher",11
"David Flores",2
"David Frankel",4
"David Freyne",1
"David Gal�n Galindo",1
"David Gelb",1
"David Gidali",1
"David Glover",1
"David Gordon Green",7
"David Grossman",1
"David Guy Levy",1
"David Hackl",4
"David Hand",2
"David Hand|James Algar|Samuel Armstrong|Ben Sharpsteen|William Roberts|Paul Satterfield|Hamilton Luske|Jim Handley|Ford Beebe|T. Hee|Wilfred Jackson|Norman Ferguson",1
"David Hayter",1
"David Hogan",1
"David Holroyd",1
"David Jackson",1
"David Jung",1
"David Kendall",1
"David Kerr",1
"David Koepp",5
"David Lam",1
"David Lean",5
"David Leitch",5
"David Leland",1
"David Leveaux",1
"David Levy",1
"David Lister",1
"David Lowell Rich",1
"David Lowery",4
"David Lynch",9
"David M. Evans",5
"David M. Rosenthal",1
"David Mackenzie",4
"David Mallet",1
"David Mamet",1
"David Marconi",1
"David Marmor",1
"David Marqu�s",1
"David McNally",2
"David Mich�d",4
"David Mirkin",2
"David Moreau",1
"David Moreau|Xavier Palud",1
"David Nelson",1
"David Nerlich|Andrew Traucki",1
"David O. Russell",6
"David Oelhoffen",1
"David Oyelowo",1
"David Palmieri",1
"David Petrucci",1
"David Price",1
"David Prior",1
"David R. Ellis",6
"David Raymond",1
"David Raynr",1
"David Robert Mitchell",2
"David Rodriguez",1
"David Ross",1
"David S. Goyer",3
"David S. Ward",1
"David Schwimmer",2
"David Silverman",6
"David Slade",4
"David Soren",4
"David Tennant",1
"David Trueba",1
"David Tryhorn|Ben Nicholas",1
"David Twohy",4
"David V. Nicholson",1
"David Von Ancken",1
"David Wain",2
"David Winning",3
"David Wnendt",1
"David Worth",1
"David Worth|Mark DiSalle",1
"David Wu",1
"David Yarovesky",2
"David Yates",7
"David Zucker",6
"Davis Doi",1
"Dax Shepard",1
"Dean Craig",1
"Dean Cundey",1
"Dean DeBlois",2
"Dean Devlin",2
"Dean Israelite",2
"Dean McKendrick",5
"Dean Parisot",4
"Dean Semler",1
"Deb Hagan",1
"Deborah Chow",1
"Debra Granik",2
"Debs Gardner-Paterson",1
"Declan O'Brien",5
"Dee Rees",1
"Deepu|Aryan Gowra",1
"Delphine Lehericey",1
"Demian Lichtenstein",1
"Demi�n Rugna",1
"Denis Hennelly",1
"Denis Imbert",1
"Denis Rovira van Boekholt",1
"Denis Villeneuve",7
"Denise Di Novi",1
"Deniz Gamze Erg�ven",1
"Dennie Gordon",3
"Dennis Bots",1
"Dennis Devine",1
"Dennis Dugan",12
"Dennis Gansel",4
"Dennis Hopper",2
"Dennis Iliadis",2
"Denny Lu|Mike Myhre|Jim Miller",1
"Denzel Washington",2
"Deon Taylor",6
"Deran Sarafian",1
"Derek Cianfrance",3
"Derek Drymon|Jennifer Kluska",1
"Derek Kwok",1
"Derek Presley",1
"Derek Tsang",1
"Derek Wayne Johnson",1
"Derek Yee Tung-Sing",2
"Derrick Borte",1
"Derrick Granado",1
"Des McAnuff",1
"Desconocido",74
"Desiree Akhavan",1
"Desmond Davis",1
"Destin Daniel Cretton",3
"Deven Bhojani",1
"Devin McGinn",1
"Dexter Fletcher",2
"Diane English",1
"Dianne Houston",1
"Dick Lowry",1
"Dick Maas",1
"Dick Sebast|Bob Richardson|Will Meugniot",1
"Dick Sebast|Jay Oliva|Patrick Archibald",1
"Didier Bivel",1
"Diederik Van Rooijen",1
"Diego Corsini|Andy Caballero",1
"Diego Kaplan",2
"Diego �lvarez",1
"Diego Mondaca",1
"Dieter H. Wagner",1
"Dimitri Logothetis",2
"Dino Risi",1
"Director X.",1
"Dito Montiel",4
"Dmitriy Dyachenko",4
"Do Bong-san",1
"Dodge Greenley",1
"Dolph Lundgren",1
"Dom Lenoir",1
"Dome Karukoski",1
"Domee Shi",1
"Domenico Emanuele de Feudis",1
"Dominic Burns",1
"Dominic Cooke",1
"Dominic Sena",4
"Dominique Othenin-Girard",1
"Dominique Rocher",1
"Don Bluth",4
"Don Chaffey",1
"Don Coscarelli",1
"Don E. FauntLeRoy",4
"Don Hall|Carlos L�pez Estrada",1
"Don Mancini",3
"Don McBrearty",2
"Don McKellar",1
"Don Michael Paul",14
"Don Scardino",1
"Don Siegel",5
"Don Taylor",3
"Donald P. Borchers",1
"Donald Petrie",8
"Donato Carrisi",2
"Donick Cary",1
"Donnie McMillin|Rita McMillin",1
"Donovan Cook",1
"Donovan Marsh",2
"Dorian Fern�ndez-Moris",1
"Dorota Kobiela|Hugh Welchman",1
"Doug Campbell",3
"Doug Ellin",1
"Doug Lefler",2
"Doug Liman",10
"Doug Murphy",3
"Doug Sweetland|Nicholas Stoller",1
"Douglas Aarniokoski",3
"Douglas Attal",1
"Douglas Barr",1
"Douglas Mackinnon",1
"Douglas McCarthy",1
"Douglas McGrath",3
"Drake Bell|Steve Hoefer",1
"Drake Doremus",4
"Drew Ann Rosenberg",1
"Drew Gabreski",1
"Drew Goddard",2
"Drew Heriot",1
"Drew Pearce",2
"Drew T. Pierce|Brett Pierce",1
"Duane Adler",1
"Duane Journey",1
"Duki Dror|Tzachi Schiff",1
"Duncan Jones",4
"Duncan Skiles",1
"Duncan Ward",1
"Dustin Rikert",1
"Dusty Mancinelli|Madeleine Sims-Fewer",1
"Dutch Marich",1
"Dwayne Carey-Hill",2
"Dwight H. Little",4
"Dylan Brown",1
"Dylan C. Brown",1
"Dylan Reynolds",1
"Dzhanik Fayziev",1
"Dzhanik Fayziev|Ivan Shurkhovetskiy",1
"E.L. Katz",1
"Ed Decter",1
"Ed Gass-Donnelly",1
"Ed Harris",1
"Eddie Arya",1
"Eddie Huang",1
"Eddie Rosas",1
"Edgar Wright",6
"Edin Martinez",1
"Edmund Goulding",1
"Eduard Cort�s",1
"Eduardo Casanova",1
"Eduardo Ortiz",2
"Eduardo Rodr�guez",2
"Eduardo Rosado",1
"Eduardo Schuldt|Alex Orrelle",1
"Eduardo S�nchez",1
"Eduardo S�nchez|Gregg Hale|Simon Barrett|Adam Wingard|Jason Eisener|Gareth Evans|Timo Tjahjanto",1
"Edward Bazalgette",1
"Edward Drake",3
"Edward Hall",1
"Edward James Olmos",2
"Edward Lachman|Larry Clark",1
"Edward Neumeier",1
"Edward Norton",1
"Edward Yang",2
"Edward Zwick",11
"Egor Abramenko",1
"Egor Baranov",1
"Eiichiro Hasumi",2
"Eirik Svensson",1
"Ekachai Uekrongtham",1
"Elaine Bogan",1
"Eleanor Burke|Ron Eyal",1
"Eleanor Coppola",1
"Elem Klimov",1
"Eli Craig",2
"Eli Cross",1
"Eli Roth",7
"Elia Kazan",2
"Elia Suleiman",1
"Elijah Bynum",1
"Elisa Amoruso",1
"Elisabeth R�hm",1
"Elise Duran",1
"Elissa Down",1
"Eliza Hittman",2
"Elizabeth Allen Rosenbaum",3
"Elizabeth Banks",2
"Elizabeth Chai Vasarhelyi|Jimmy Chin",3
"Elizabeth Olsen|Paul Bettany|Kathryn Hahn|Randall Park|Teyonah Parris|Zac Henry|Kat Dennings|Josh Stamberg|Julian Hilliard|Jett Klyne|Anthony Mackie|Don Cheadle|Sebastian Stan|Amy Aquino|Chase River McGhee|Aaron Haynes|Carl Lumbly|Wyatt Russell|Erin Kellyman|Daniel Br�hl|Emily VanCamp|Tom Hiddleston|Wunmi Mosaku|Tara Strong|Owen Wilson|Sophia Di Martino|Jack Veal|Deobia Oparei|Richard E. Grant|Jonathan Majors|Samuel L. Jackson|Jeffrey Wright|Djimon Hounsou|Chadwick Boseman|Hayley Atwell|Josh Keaton|Benedict Cumberbatch|Chris Hemsworth|Jeremy Renner|Hailee Steinfeld|Linda Cardellini|Ava Russo|Ben Sakamoto|Cade Woodward|Vera Farmiga|Alaqua Cox|Oscar Isaac|Tatiana Maslany|Mark Ruffalo|Iman Vellani|Rish Shah|Matthew Lintz",1
"Elizabeth Wood",1
"Elle Callahan",1
"Elliot M. Bour",1
"Elliott Lester",2
"Ellory Elkayem",4
"Emerald Fennell",1
"Emeric Pressburger|Michael Powell",1
"Emile Ardolino",2
"Emile Edwin Smith",2
"Emilio Maill�",1
"Emilio Portes",1
"Emir Kusturica",2
"Emma Seligman",1
"Emma Tammi",1
"Emmanuel Mouret",1
"Emmanuel Osei-Kuffour, Jr.",1
"Emmanuelle Bercot",1
"Emmanuelle Bercot|Gilles Lellouche|Jean Dujardin|Michel Hazanavicius|Fred Cavay�|Eric Lartigau|Alexandre Courtes",1
"Enki Bilal",1
"Enol Junquera|Luis Pelayo Junquera",1
"Enrico Casarosa",1
"Enrique Cruz",1
"Enrique Gato",2
"Enrique Gato|David Alonso P�rez de Algaba",1
"Enzo Barboni",5
"Eran Creevy",1
"Eran Creevy|Giorgio Testi|Joe Pearlman|Casey Patterson",1
"Eric Amadio",1
"Eric Bernt",1
"Eric Bress",1
"Eric Bress|J. Mackye Gruber",1
"Eric Brevig",2
"Eric Bross",2
"Eric Cabello",1
"Eric D. Howell",1
"Eric Darnell|Simon J. Smith",1
"Eric Darnell|Tim Johnson",1
"Eric Darnell|Tom McGrath",2
"Eric Demeusy",1
"Eric England",1
"Eric Favela|R�gis Schuller",1
"Eric Heisserer",1
"Eric Lartigau",1
"Eric Lavaine",1
"Eric Radomski|Audu Paden",1
"Eric Radomski|Leo Riley",1
"Eric Red",1
"Eric Small",1
"Eric Summer|�ric Warin",1
"Eric Till",1
"Eric Tosti",1
"Eric Valette",2
"Eric Zaragoza",1
"Ericson Core",3
"Erik Poppe",1
"Erik Skjoldbj�rg",1
"Erik Van Looy",1
"Erik White",1
"Erika Lust",1
"Erin Lee Carr",2
"Ernest R. Dickerson",2
"Ernesto Rimoch",1
"Ernie Barbarash",11
"Ernst Marischka",3
"Eshom Nelms|Ian Nelms",1
"Eskil Vogt",1
"Esteban Echeverr�a",1
"Etan Cohen",2
"Ethan Spaulding",8
"Ethan Spaulding|Cecilia Aranovich",1
"Ettore D'Alessandro",1
"Eugene Kotlyarenko",1
"Eugenio Derbez",1
"Eugenio Mart�n",1
"Euros Lyn",2
"Eva Orner",1
"Evan Morgan",1
"Evan Spiliotopoulos",1
"Evan Tramel",1
"Everardo Gout",1
"Ewan McGregor",1
"Eytan Rockaway",1
"Ezekiel Norton",4
"F. Gary Gray",9
"F. Javier Guti�rrez",1
"F.W. Murnau",1
"Fabian Burstein",1
"Fabio Guaglione|Fabio Resinaro",1
"Fabio Mollo",1
"Fabr�cio Bittar",1
"Fabrice Du Welz",1
"Fajar Bustomi",1
"Fansu Njie",1
"Farhad Safinia",1
"Farren Blackburn",1
"Fausto Brizzi",1
"Fede Alvarez",3
"Federico D'Alessandro",1
"Federico Fellini",4
"Federico Moccia",1
"Felix Binder",1
"Felix Fuchssteiner",1
"Felix Fuchssteiner|Katharina Sch�de",1
"Felix Herngren",1
"Felix van Groeningen",1
"Fenar Ahmad",2
"Fenton Bailey|Randy Barbato",1
"Ferdinando Cito Filomarino",1
"Fergal Reilly|Clay Kaytis",1
"Fernando Alonso y Fr�as",1
"Fernando Ayll�n",1
"Fernando Coimbra",1
"Fernando Colomo",1
"Fernando Cortizo",1
"Fernando Frias",1
"Fernando Garc�a-Ruiz Rubio",1
"Fernando Gonz�lez Molina",6
"Fernando Guzzoni",1
"Fernando Lebrija",1
"Fernando Le�n de Aranoa",2
"Fernando Meirelles",4
"Fernando Sari�ana",2
"Fernando Trueba",2
"Fifth Solomon",1
"Filip Ghiorghi",1
"Filip Zylber",1
"Fionn Watts|Toby Watts",1
"Fisher Stevens",3
"F�lix Enr�quez Alcal�",1
"Florent-Emilio Siri",1
"Floria Sigismondi",2
"Florian David Fitz",1
"Florian Gallenberger",2
"Florian Gottschick",1
"Florian Henckel von Donnersmarck",3
"Florian Schnell",1
"Florian Zeller",1
"Floyd Russ",1
"Forest Whitaker",1
"Fouad Mikati",1
"Fran Kranz",1
"Fran Rubel Kuzui",1
"Francesco Amato",1
"Francine McDougall",2
"Francis Annan",1
"Francis Disla",1
"Francis Ford Coppola",9
"Francis Giacobetti",1
"Francis Glebas",1
"Francis Lawrence",7
"Francis Lee",2
"Francis Veber",2
"Francisco J. Lombardi",1
"Francisco Javier Padilla",1
"Francisco Laresgoiti|Alejandro Molina|Rodrigo Ordo�ez|Leopoldo Laborde|J. Xavier Velasco|Gigi Sa�l Guerrero|Ulises Guzm�n Reyes|Jaime Jasso|Fernando Campos|Jorge Malpica",1
"Franck Dubosc",1
"Franck Ekinci|Christian Desmares",1
"Franck Gastambide",1
"Franck Khalfoun",5
"Franco Zeffirelli",2
"Frank Capra",2
"Frank Cimi�re",1
"Frank Coraci",8
"Frank Darabont",3
"Frank Marshall",2
"Frank Miller",1
"Frank Mosvold|Atle Solberg Blakseth",1
"Frank Nissen",2
"Frank Oz",5
"Frank Oz|Jim Henson",1
"Frank Passingham|Dave Borthwick|Jean Duval",1
"Frank Paur",1
"Frank Paur|Jay Oliva|Patrick Archibald",1
"Frank Pavich",1
"Frank Perozo",1
"Frank Pierson",1
"Frankie Chen",2
"Frankie Chung|Jon M. Chu",1
"Franklin J. Schaffner",3
"Fran�ois Ozon",6
"Fran�ois Simard|Anouk Whissell|Yoann-Karl Whissell",2
"Fran�ois Truffaut",3
"Frant Gwo",1
"Fraser Clarke Heston",1
"Fr�d�ric Petitjean",1
"Fred Avellar",1
"Fred Cavay�",2
"Fred Dekker",2
"Fred Durst",1
"Fred M. Wilcox",1
"Fred Olen Ray",1
"Fred Savage",1
"Fred Wolf",3
"Fred Zinnemann",3
"Frederik Du Chau",2
"Fredrick Munk",1
"Fritz B�hm",1
"Fritz Lang",3
"Fruit Chan",1
"Fumihiko Sori",1
"Fuminori Kizaki",2
"Fyodor Bondarchuk",2
"G.J. Echternkamp",2
"Gabe Ib��ez",1
"Gabriela Calvache",1
"Gabriela Cowperthwaite",3
"Gabriela Tagliavini",2
"Gabriele Mainetti",1
"Gabriele Muccino",4
"Gabriele Salvatores",1
"Gabrielle Anwar",1
"Gael Garc�a Bernal",1
"Gail Harvey",1
"Gail Mancuso",1
"Galder Gaztelu-Urrutia",1
"Gareth Carrivick",1
"Gareth Edwards",3
"Gareth Evans",3
"Garrett Sander",1
"Garry Marshall",9
"Garry Nation|Elya Hurt|Rusty Martin|Justin Lewis",1
"Garth Davis",2
"Garth Jennings",3
"Gary Alazraki",1
"Gary Chapman",1
"Gary Dauberman",1
"Gary Fleder",5
"Gary Goddard",1
"Gary Goldman|Don Bluth",3
"Gary Harvey",1
"Gary J. Tunnicliffe",1
"Gary Jones",2
"Gary McKendry",1
"Gary Ross",4
"Gary Rydstrom",3
"Gary Shore",1
"Gary Sinise",1
"Gary Sinyor",1
"Gary Trousdale",2
"Gary Trousdale|Kirk Wise",3
"Gary Trousdale|Sean Bishop",1
"Gary Wang",2
"Gary Winick",4
"Gaspar No�",4
"Gast�n Portal",1
"Gaurav Seth",1
"Gauri Shinde",1
"Gavin Hood",4
"Gavin O'Connor",6
"Gavin Rothery",1
"Gavin Taylor",1
"Gavin Wiesen",2
"G�bor Csup�",2
"Gee Malik Linton",1
"Gene Quintano",1
"Gene Stupnitsky",1
"Genndy Tartakovsky",5
"Geoff Murphy",3
"Geoffrey Sax",2
"Geoffrey Wright",1
"George A. Romero",7
"George Butler|Robert Fiore",1
"George C. Wolfe",2
"George Clooney",6
"George Cukor",2
"George Gallo",3
"George Gallo|Francesco Cinquemani",1
"George Harris",1
"George J. Bennett",1
"George Lucas",6
"George Mihalka",1
"George Miller",7
"George Miller|George Ogilvie",1
"George Nolfi",3
"George P. Cosmatos",4
"George Pal",1
"George Ratliff",1
"George Roy Hill",2
"George Scribner",1
"George Seaton",2
"George Sherman",1
"George Stevens",3
"George Tillman, Jr.",5
"George Waggner",1
"Georges Lautner",1
"Georges M�li�s",1
"Gerald Kargl",1
"Gerald Rascionato",1
"Gerard Barrett",1
"Gerard Bush|Christopher Renz",1
"Gerard McMurray",1
"Gerardo Naranjo",1
"Gerardo Olivares",1
"Gerry Lively",2
"Gia Coppola",2
"Giancarlo Esposito",1
"Giancarlo Volpe",1
"Gianluigi Calderone",1
"Gideon Raff",1
"Gigi Sa�l Guerrero",1
"Gil Junger",5
"Gil Kenan",4
"Gilbert Adler",1
"Giles Alderson",1
"Gilles de Maistre",2
"Gilles Lellouche",1
"Gilles Paquet-Brenner",2
"Gillian Armstrong",1
"Gillies MacKinnon",1
"Gina Prince-Bythewood",1
"Gino Nichele",1
"Gints Zilbalodis",1
"Giorgio Serafini",1
"Giovanni Veronesi",1
"Gisaburo Sugii",1
"Giuseppe Capotondi",1
"Giuseppe Colizzi",1
"Giuseppe Spina|Giulia Mazzone",1
"Giuseppe Tornatore",4
"G�la Babluani",1
"Glen Keane",1
"Glen Morgan",1
"Glendyn Ivin",1
"Glenn Campbell",1
"Glenn Ficarra|John Requa",2
"Glenn Gers",1
"Glenn Miller",1
"Gonzalo L�pez-Gallego",3
"Gonzalo Tobal",1
"Gordon Chan",6
"Gordon Yang",1
"Gore Verbinski",8
"Goro Miyazaki",3
"Goro Taniguchi",1
"Gou Koga",1
"Grand Corps Malade|Mehdi Idir",1
"Grant Heslov",1
"Grant Sputore",1
"G�rard Krawczyk",4
"G�rard Oury",2
"G�rard Pir�s",1
"Gray Hofmeyr|Ziggy Hofmeyr",1
"Greg Barker",1
"Greg Beeman",2
"Greg Berlanti",2
"Greg Franklin",1
"Greg Marcks",1
"Greg McLean",6
"Greg Mottola",4
"Greg Richardson",3
"Greg Spence",1
"Gregg Araki",1
"Gregg Bishop",1
"Gregor Jordan",1
"Gregory Dark",1
"Gregory Hoblit",5
"Gregory Jacobs",2
"Gregory Plotkin",2
"Gregory Poirier",1
"Gregory Wilson",1
"Greig Cameron",1
"Greta Gerwig",2
"Grey Rich",2
"Gr�gory Levasseur",1
"Griff Furst",4
"Griffin Dunne",1
"Griffin Dunne|Peter Farrelly|Elizabeth Banks|James Gunn|Steven Brill|Brett Ratner|Steve Carr|Rusty Cundieff|James Duffy|Patrik Forsberg|Jonathan van Tulleken|Will Graham",1
"Guan Hu",2
"Guillaume Canet",3
"Guillaume Ivernel|Arthur Qwak",1
"Guillaume Ivernel|Zhang Zhiyi",1
"Guillaume Nicloux",1
"Guillaume Pierret",1
"Guillem Morales",1
"Guillermo Arriaga",1
"Guillermo del Toro",11
"Guillermo Iv�n",1
"Guillermo R�os",1
"Guillermo R�os Bord�n",1
"Gu�mundur Arnar Gu�mundsson",1
"Guo Jingming",2
"Gurinder Chadha",3
"Gurinder Chadha|Paul Mayeda Berges",1
"Gus Holwerda",1
"Gus Van Sant",6
"Gustav M�ller",1
"Gustavo Bol�var Moreno",1
"Gustavo Loza",1
"Guy Ferland",1
"Guy Hamilton",4
"Guy Jenkin",1
"Guy Jenkin|Andy Hamilton",1
"Guy Magar",1
"Guy Moshe",1
"Guy Nattiv",1
"Guy Ritchie",11
"H.M. Coakley",1
"Hadi Hajaig",1
"Hadrah Daeng Ratu",1
"Hafsteinn Gunnar Sigur�sson",1
"Haifaa al-Mansour",2
"Hajime Kamegaki",3
"Hal Needham",1
"Halle Berry",1
"Halle Berry|Famke Janssen|Anna Paquin|Rebecca Romijn|Bryan Singer|Hugh Jackman|Ian McKellen|James Marsden",1
"Hallie Meyers-Shyer",1
"Hallvard Br�in",2
"Hamid Torabpour",1
"Hamilton Luske|Wilfred Jackson|Clyde Geronimi",4
"Hamilton Luske|Wilfred Jackson|Clyde Geronimi|Jack Kinney",1
"Hamish Grieve",1
"Han Kwang-il",1
"Han Sang-ho",1
"Hank Braxtan",2
"Hannah Fidell",1
"Hannes Holm",2
"Hanno Olderdissen",1
"Hanns-Bruno Kammert�ns|Michael Wech|Vanessa N�cker",1
"Hans Horn",1
"Hans Petter Moland",2
"Hans Stjernsw�rd",1
"Hany Abu-Assad",2
"Harald Zwart",5
"Harmony Korine",1
"Harold Becker",3
"Harold Cronk",3
"Harold Ramis",6
"Harold Trompetero",3
"Harrison Smith",1
"Harry Bradbeer",1
"Harry Cripps|Claire Knight",1
"Harry Macqueen",1
"Haruka Fujita",1
"Haruo Sotozaki",6
"Harvey Glazer",1
"Hasraf Dulull",1
"Hatem Khraiche",1
"Hatsuki Tsuji",1
"Hayao Miyazaki",11
"Hayato Date",4
"Hayato Kawai",3
"H�ctor Hern�ndez Vicens",2
"Heath Davis",1
"Hee Jeong|Heo Ye-chang",1
"Heinz Dunkhase",1
"Heitor Dhalia",1
"Helen Hunt",1
"Helena Bergstr�m",1
"Henk Pretorius",1
"Henri Verneuil",1
"Henrik Martin Dahlsbakken",2
"Henrik Ruben Genz",1
"Henrique Jardim",2
"Henry Alex Rubin",1
"Henry Cavill|Anya Chalotra|Freya Allan|Joey Batey|Kim Bodnia|Anna Shaffer|Lauren Schmidt Hissrich|Tomek Baginski",1
"Henry Hathaway",3
"Henry Hobson",1
"Henry Joost|Ariel Schulman",5
"Henry Koster",1
"Henry Levin",1
"Henry Saine",1
"Henry Selick",4
"Henry Yu",1
"Herman Yau",2
"Hern�n Bel�n",1
"Hern�n Jim�nez",1
"Hicham Hajji",1
"Hideaki Anno",8
"Hideaki Anno|Kazuya Tsurumaki",1
"Hideo Jojo",1
"Hideo Nakata",6
"Hikaru Yamaguchi",1
"Hiroaki Ando|Hiroyuki Seshita",1
"Hiroaki Miyamoto",1
"Hirofumi Kurita",1
"Hirokazu Kore-eda",1
"Hiroki Shibata",2
"Hiromasa Yonebayashi",3
"Hiromasa Yonebayashi|Yoshiyuki Momose|Akihiko Yamashita",1
"Hiromitsu Kanazawa",1
"Hiromu Nakamura",1
"Hironobu Sakaguchi|Motonori Sakakibara",1
"Hiroshi Fukutomi",1
"Hiroshi Hamazaki",1
"Hiroshi Harada",1
"Hiroshi Nagahama",1
"Hiroshi Nishikiori",3
"Hiroshi Watanabe",2
"Hirotsugu Kawasaki",1
"Hiroyasu Ishida",1
"Hiroyuki Imaishi",3
"Hiroyuki Kitakubo",1
"Hiroyuki Morita",1
"Hiroyuki Morita|Mitsuru Hongo",1
"Hiroyuki Okiura",2
"Hiroyuki Satou",1
"Hiroyuki Seshita",1
"Hiroyuki Yamashita",2
"Hisashi Saito",1
"Hitori Gekidan",1
"H�l�ne Giraud|Thomas Szabo",2
"Holger Tappe",2
"Homero Cirelli",1
"Hong Sung-ho",1
"Hong Won-chan",1
"Howard Deutch",3
"Howard E. Baker|Arish Fyzee",1
"Howard E. Baker|Kyung Ho Lee|John Fox",1
"Howard Hawks",5
"Howard McCain",1
"Howard Zieff",2
"Howy Parkins",1
"Hoyt Yeatman",1
"Hsu Chien Hsin",1
"Huck Botko",1
"Huck Botko|Andrew Gurland",1
"Hugh Hudson",2
"Hugh Wilson",3
"Hugo G�lin",1
"Huh Jung",1
"Hwang Dong-hyuk",1
"Iain Softley",5
"Ian Bonh�te",1
"Ian Edelman",1
"Ian Kirby|Tor Helmstein",1
"Ian Samuels",2
"Iginio Straffi",2
"Igor Kopylov",1
"Ilya Naishuller",2
"Indar Dzhendubaev",1
"Ingmar Bergman",4
"Irene Taylor Brodsky",1
"Irvin Kershner",2
