"Director","Frecuencia"
"Amir Assadi",1
"Amit Saxena",1
"Amitabh Chakraborty",1
"Amma Asante",3
"Amp Wong",1
"Amy Heckerling",6
"Amy J. Berg",1
"Amy Koppelman",1
"Amy Poehler",2
"Ana Asensio",1
"Ana Clavell|James Glenn Dudelson",1
"Ana Lily Amirpour",2
"Ana Murugarren",1
"Anah� Berneri",1
"Anah�|Dulce Mar�a|Maite Perroni|Alfonso Herrera|Christopher Von Uckermann|Christian Ch�vez",1
"Anand Tucker",1
"Anders Thomas Jensen",2
"Anders Walter",1
"Andr� Badalo",1
"Andr� De Toth",1
"Andr� �vredal",4
"Andrea Arnold",1
"Andrea Berloff",1
"Andrea Blaugrund Nevins",1
"Andrea Block|Christian Haas",1
"Andrea Di Stefano",2
"Andreas Fontana",1
"Andrei Konchalovsky",3
"Andrei Tarkovsky",3
"Andres Beltran",1
"Andrew Adamson",2
"Andrew Adamson|Kelly Asbury|Conrad Vernon",1
"Andrew Adamson|Vicky Jenson",1
"Andrew Baird",1
"Andrew Bergman",2
"Andrew Black",1
"Andrew Bowler",1
"Andrew Davis",8
"Andrew Dominik",3
"Andrew Douglas",1
"Andrew Drazek",1
"Andrew Duncan",2
"Andrew Duncan|Ken Cunningham",1
"Andrew Eastel",1
"Andrew Fleming",5
"Andrew Goth",1
"Andrew Haigh",1
"Andrew Hyatt",1
"Andrew J. Cohen",1
"Andrew Jarecki",1
"Andrew Jones",5
"Andrew Kasch|Daniel Farrands",1
"Andrew Knight",1
"Andrew L. Schmidt|Francisco Ruiz Velasco|Johane Matte",1
"Andrew Lau",2
"Andrew Lau|Alan Mak",4
"Andrew Lawrence",1
"Andrew Levitas",1
"Andrew Morahan",2
"Andrew Morgan",1
"Andrew Niccol",6
"Andrew Onwubolu",1
"Andrew Patterson",1
"Andrew Solt",1
"Andrew Stanton",4
"Andrew Tan",1
"Andrew Traucki",2
"Andrew V. McLaglen",2
"Andrew Waller",1
"Andrey Galat|Maxim Volkov",1
"Andrey Kravchuk",1
"Andrey Volgin",1
"Andrey Zvyagintsev",1
"Andr�s Baiz",1
"Andr�s Couturier",1
"Andr�s Navia",1
"Andrzej Bartkowiak",5
"Andrzej Sekula",1
"Andrzej Zulawski",1
"Andy Cadiff",1
"Andy Cheng",2
"Andy Coyle",1
"Andy Fickman",9
"Andy Goddard",1
"Andy Hurst",1
"Andy Mitton",1
"Andy Muschietti",4
"Andy Nyman|Jeremy Dyson",1
"Andy Serkis",3
"Andy Tennant",7
"Aneesh Chaganty",2
"Ang Lee",7
"Angel Sancho",1
"Angela King",1
"Angela Robinson",3
"Angelina Jolie",3
"Angus MacLane",1
"Anika Decker",1
"Ann Deborah Fishman",1
"Ann Marie Pace",1
"Anna Biller",1
"Anna Elizabeth James",1
"Anna Foerster",1
"Anna Justice",1
"Anna Kerrigan",1
"Anna Mastro",1
"Anna Melikyan|Rezo Gigineishvili|Pavel Ruminov|Alexey Chupov|Natalya Merkulova|Nigina Sayfullaeva|Evgeny Shelyakin",1
"Anna Zielinski",1
"Annabel Jankel",1
"Anne Fletcher",5
"Anne Fontaine",2
"Anne Goursaud",1
"Anne K. Black",1
"Anthony Burns",1
"Anthony Byrne",1
"Anthony C. Ferrante",7
"Anthony DiBlasi",1
"Anthony G. Cohen",1
"Anthony Hemingway",1
"Anthony Hickox",1
"Anthony Leonardi III",1
